,City,Latitude,Longitude,Max Temperature (°C),Humidity (%),Cloudiness (%),Wind Speed (MPH),Country,Date
115,whitehorse,60.7161,-135.0538,22.43,49,75,6.69,CA,1658863483
116,kassala,15.451,36.4,26.73,73,100,6.77,SD,1658863484
117,leon,21.1167,-101.6667,26.75,45,86,1.7,MX,1658863382
118,monrovia,6.3005,-10.7969,26.87,82,66,3.57,LR,1658863370
119,caravelas,-17.7125,-39.2481,23.96,68,1,3.28,BR,1658863489
120,hofn,64.2539,-15.2082,10.09,90,99,1.29,IS,1658863490
121,port macquarie,-31.4333,152.9167,9.38,65,0,5.21,AU,1658863491
122,linqiong,30.4159,103.4609,30.9,88,27,1.34,CN,1658863493
123,butaritari,3.0707,172.7902,27.53,75,12,7.99,KI,1658863494
124,noumea,-22.2763,166.4572,20.0,99,0,2.82,NC,1658863495
125,warman,52.3168,-106.5679,22.27,43,75,6.69,CA,1658863391
126,sampit,-2.5333,112.95,22.65,99,96,0.69,ID,1658863499
127,souillac,-20.5167,57.5167,21.21,83,40,3.09,MU,1658863500
128,castelo do piaui,-5.3222,-41.5525,35.79,19,100,1.94,BR,1658863501
129,arlit,18.7369,7.3853,39.79,10,53,4.73,NE,1658863503
130,clyde river,70.4692,-68.5914,4.13,100,75,5.14,CA,1658863504
131,kralendijk,12.15,-68.2667,30.99,66,40,7.72,BQ,1658863415
132,vaini,-21.2,-175.2,22.09,88,20,2.57,TO,1658863507
133,hobart,-42.8794,147.3294,6.92,95,54,1.54,AU,1658863509
134,tura,25.5198,90.2201,22.44,89,20,1.13,IN,1658863238
135,nuuk,64.1835,-51.7216,8.34,81,75,2.06,GL,1658863511
136,avarua,-21.2078,-159.775,22.03,64,40,6.17,CK,1658863512
137,meulaboh,4.1363,96.1285,23.47,94,100,3.11,ID,1658863514
138,siocon,7.7061,122.1353,26.13,89,100,2.21,PH,1658863516
139,algiers,36.7525,3.042,27.9,61,20,2.06,DZ,1658863281
140,port elizabeth,-33.918,25.5701,17.58,49,10,1.59,ZA,1658863519
141,iquique,-20.2208,-70.1431,16.02,71,58,4.71,CL,1658862973
142,boa vista,2.8197,-60.6733,30.99,62,40,5.14,BR,1658863483
143,sinnamary,5.3833,-52.95,28.27,74,55,3.32,GF,1658863523
144,banda aceh,5.5577,95.3222,25.58,83,100,3.65,ID,1658863524
145,saint george,37.1041,-113.5841,32.57,46,0,1.34,US,1658863250
146,kloulklubed,7.0419,134.2556,23.28,71,100,1.21,PW,1658863527
147,isangel,-19.55,169.2667,22.96,87,94,6.13,VU,1658863528
148,hudiksvall,61.729,17.1036,17.03,74,10,3.12,SE,1658863529
149,kalga,50.9251,118.898,16.29,99,100,1.39,RU,1658863531
150,buchanan,5.8808,-10.0467,24.25,83,93,3.61,LR,1658863532
151,puerto colombia,10.9878,-74.9547,28.82,73,100,2.95,CO,1658863533
152,bundaberg,-24.85,152.35,12.34,72,0,1.79,AU,1658863535
153,west wendover,40.7391,-114.0733,33.56,10,0,4.63,US,1658863536
154,cotonou,6.3654,2.4183,24.99,88,40,6.17,BJ,1658863537
155,santa rosa,14.3122,121.1114,26.17,88,100,0.99,PH,1658863270
156,wukari,7.85,9.7833,24.44,84,72,2.24,NG,1658863540
157,northam,51.0333,-4.2167,17.99,69,0,4.73,GB,1658863541
158,east london,-33.0153,27.9116,17.81,58,5,4.71,ZA,1658863333
159,sao filipe,14.8961,-24.4956,25.77,81,99,2.11,CV,1658863543
160,salym,60.0625,71.4789,13.83,72,37,2.29,RU,1658863544
161,port blair,11.6667,92.75,27.4,82,100,1.63,IN,1658863547
162,cabo san lucas,22.8909,-109.9124,33.67,58,20,2.06,MX,1658863535
163,ayni,39.3941,68.5377,25.81,33,3,1.49,TJ,1658863549
164,nouadhibou,20.931,-17.0347,22.67,90,21,5.8,MR,1658863551
165,lebu,-37.6167,-73.65,12.28,78,3,8.04,CL,1658863552
166,sao joao da barra,-21.6403,-41.0511,25.05,73,52,5.18,BR,1658863553
167,shache,38.4167,77.2406,30.83,18,61,3.04,CN,1658863555
168,minas,-34.3759,-55.2377,20.63,82,88,4.63,UY,1658863556
169,kannad,20.2667,75.1333,23.47,85,100,2.56,IN,1658863557
170,tasiilaq,65.6145,-37.6368,6.09,92,100,0.8,GL,1658863559
171,devonport,-41.1667,146.35,9.44,74,60,5.13,AU,1658863560
172,alice springs,-23.7,133.8833,0.75,80,0,0.0,AU,1658863561
173,toronto,43.7001,-79.4163,25.83,54,69,1.79,CA,1658862850
174,boma,7.0805,-2.1697,22.15,99,100,0.7,GH,1658863564
175,sitka,57.0531,-135.33,13.94,94,100,1.54,US,1658863565
176,airai,-8.9266,125.4092,11.83,70,100,1.64,TL,1658863566
177,sirnak,37.5228,42.4594,22.05,14,0,1.42,TR,1658863568
178,moree,-29.4667,149.85,3.89,77,5,4.13,AU,1658863569
179,mao,39.8885,4.2658,25.31,69,0,5.14,ES,1658863570
180,paamiut,61.994,-49.6678,5.66,93,22,8.12,GL,1658863571
181,puerto maldonado,-12.6,-69.1833,31.22,62,75,1.54,PE,1658863574
182,bandarbeyla,9.4942,50.8122,24.73,81,17,13.53,SO,1658863575
183,krasnoselkup,65.7,82.4667,12.26,69,1,4.3,RU,1658863576
184,guarapari,-20.6667,-40.4975,23.83,71,6,4.48,BR,1658863578
185,severnyy-kospashskiy,59.0925,57.8008,10.34,88,89,1.59,RU,1658863579
186,almeirim,-1.5233,-52.5817,31.79,53,95,1.01,BR,1658863580
187,mezen,65.8522,44.24,14.96,78,94,2.56,RU,1658863582
188,penalva,-3.2942,-45.1736,33.05,35,21,1.83,BR,1658863419
189,comodoro rivadavia,-45.8667,-67.5,2.92,87,75,3.09,AR,1658863585
190,kruisfontein,-34.0033,24.7314,14.17,55,11,3.01,ZA,1658863586
191,frontera,26.9333,-101.45,35.86,36,40,0.89,MX,1658863588
192,liyang,29.7057,118.2862,26.11,85,81,0.39,CN,1658863589
193,tieli,46.95,128.05,19.6,93,14,1.99,CN,1658863590
194,mount gambier,-37.8333,140.7667,9.95,100,75,3.6,AU,1658863592
195,tuktoyaktuk,69.4541,-133.0374,15.0,82,100,8.75,CA,1658863316
196,odweyne,9.4092,45.064,25.22,34,100,9.51,SO,1658863595
197,tabou,4.423,-7.3528,24.29,79,100,4.14,CI,1658863596
198,ilulissat,69.2167,-51.1,10.01,81,75,2.57,GL,1658863598
199,tocopilla,-22.092,-70.1979,18.57,70,26,5.19,CL,1658863599
200,carnarvon,-24.8667,113.6333,17.3,52,0,4.96,AU,1658863320
201,kaitangata,-46.2817,169.8464,7.43,95,100,6.23,NZ,1658863601
202,nacala,-14.5428,40.6728,21.89,72,0,4.25,MZ,1658863603
203,kizilskoye,52.7255,58.8937,16.58,88,100,5.39,RU,1658863604
204,carroll,39.5501,-77.0164,25.99,65,100,0.45,US,1658863605
205,evensk,61.95,159.2333,10.99,88,24,1.14,RU,1658863607
206,pevek,69.7008,170.3133,1.04,83,85,2.53,RU,1658863608
207,piacenza,45.0468,9.6994,29.6,70,10,5.37,IT,1658863609
208,palmer,42.1584,-72.3287,27.34,52,75,4.12,US,1658863610
209,taoudenni,22.6783,-3.9836,42.38,8,100,5.24,ML,1658863612
210,katsuura,35.1333,140.3,26.2,90,97,6.02,JP,1658863613
211,parakou,9.3372,2.6303,23.73,89,97,2.19,BJ,1658863614
212,quatre cocos,-20.2078,57.7625,21.06,81,5,5.31,MU,1658863616
213,te anau,-45.4167,167.7167,5.49,98,100,1.39,NZ,1658863617
214,najran,17.4924,44.1277,30.36,34,100,1.1,SA,1658863395
215,saint-joseph,-21.3667,55.6167,18.45,80,11,3.37,RE,1658863619
216,langenburg,49.2544,9.8458,22.35,49,28,2.57,DE,1658863623
217,bambous virieux,-20.3428,57.7575,21.14,83,40,3.09,MU,1658863624
